id,originX,originY,destX,destY,lambda,Pw,Lw,ew
676,13,5,84,112,0.2,0.999723,173.49,161.456
677,20,0,116,115,0.2,1,203.892,169.364
678,46,22,110,79,0.2,0.999937,118.915,95.6787
679,137,50,68,65,0.2,0.999469,82.3066,73.1659
680,12,90,103,99,0.2,0.999629,97.1891,76.0372
681,121,176,112,92,0.2,0.999594,91.1523,83.6596
682,106,64,81,106,0.2,0.970584,66.3751,38.2458
683,149,61,114,70,0.2,0.997389,43.2966,40.745
684,147,127,73,85,0.2,0.999995,114.62,75.4218
685,58,157,80,104,0.2,0.997222,73.7419,64.7834
686,110,55,117,95,0.2,0.969073,46.8682,37.187
687,157,44,84,76,0.2,0.999907,101.281,94.2443
688,11,110,107,120,0.2,0.999403,103.743,89.7574
689,124,64,87,94,0.2,0.951798,65.5128,53.2458
690,38,55,107,111,0.2,0.999541,123.396,98.096
691,3,148,96,78,0.2,0.999259,158.357,136
692,86,85,60,61,0.2,0.819679,49.2572,26.971
693,0,9,109,72,0.2,1,169.038,159.066
694,14,37,86,73,0.2,0.999945,105.226,97.6499
695,5,64,115,112,0.2,1,152.69,118.065
696,144,54,119,85,0.2,0.930427,54.6988,44.3555
697,60,156,64,90,0.2,0.881242,69.2557,50.1388
698,84,80,110,90,0.2,0.96814,36.8925,20.8667
699,176,88,90,112,0.2,0.999133,106.749,100.032
700,132,174,96,108,0.2,0.999437,100.205,95.1755
701,16,168,92,105,0.2,0.999828,136.088,119.044
702,174,122,71,105,0.2,0.999989,116.164,106.109
703,136,33,60,116,0.2,0.999995,155.979,127.535
704,62,70,84,82,0.2,0.9962,34.1076,21.7766
705,136,59,91,76,0.2,0.99561,60.8836,45.083
706,9,143,115,84,0.2,1,159.716,132.793
707,161,55,63,63,0.2,0.94711,103.423,80.9518
708,162,160,83,105,0.2,0.999804,132.219,101.312
709,62,130,93,86,0.2,0.999242,72.8512,42.9509
710,131,87,81,102,0.2,0.935746,63.759,51.339
711,86,72,111,114,0.2,0.998594,66.7136,38.5411
712,116,72,64,83,0.2,0.957892,62.4321,37.5546
713,65,151,105,103,0.2,0.993585,87.0414,60.529
714,28,145,115,120,0.2,0.980712,110.106,71.047
715,139,110,104,85,0.2,0.789766,59.189,38.5094
716,78,20,62,107,0.2,0.887249,101.258,68.7464
717,29,71,92,93,0.2,0.999983,83.4758,76.1237
718,44,167,81,101,0.2,0.999892,101.108,89.9399
719,157,176,64,67,0.2,1,200.012,124.977
720,138,121,100,99,0.2,0.99804,58.7867,51.5894
